dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,bwd_urg_flags,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_header_len,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,init_bwd_win_byts,active_mean,active_std,active_min,idle_mean,idle_std,idle_max,idle_min
443,38568.973541259766,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3137.236718798294,51.855152376831306,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.927576188415653,25.927576188415653,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,24784.088134765625,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,4882.1646913960285,80.69693704786825,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.34846852393412,40.34846852393412,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55390,1075118.064880371,8,5,7070,1812,5646.0,54.0,883.75,1806.740902149503,904.0,54.0,362.4,356.18736642390894,8261.41824803986,12.091695251578269,89593.17207336426,142161.41607074678,409832.9544067383,0.0,1023202.8961181641,146171.84230259486,163391.68587188923,409961.9388580322,0.0,1073632.9555511475,268408.23888778687,182336.85697427395,459959.9838256836,367.16461181640625,0,0,0,7.441043231740473,4.650652019837795,54,5646,683.2307692307693,1456.686817818813,2121936.4852071,1,0,0,0,0,0,0,0.625,683.2307692307693,883.75,362.4,160,0.0,0.0,0.0,0.0,0.0,0.0,8,7070,5,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,34396.88682556152,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3517.760215150654,58.144796944638905,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,29.072398472319453,29.072398472319453,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,45982.12242126465,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2631.4574801802314,43.49516496165672,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.74758248082836,21.74758248082836,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,23047.924041748047,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,5249.930526533568,86.77571118237302,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,43.38785559118651,43.38785559118651,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55333,42371.98829650879,2,1,133,83,79.0,54.0,66.5,12.5,83.0,83.0,83.0,0.0,5097.70744031375,70.80149222657987,21185.994148254395,20855.069160461426,42041.06330871582,330.92498779296875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,47.20099481771991,23.600497408859955,54,83,72.0,12.832251036613439,164.66666666666666,1,0,0,0,0,0,0,0.5,72.0,66.5,83.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,133,1,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,40882.110595703125,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2959.729775123635,48.92115330782868,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24.46057665391434,24.46057665391434,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,24158.000946044922,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,5008.692576436452,82.78830704853641,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,41.394153524268205,41.394153524268205,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,58150.05302429199,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2080.8235540121113,34.39377775226631,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.196888876133155,17.196888876133155,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
