 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Init_Win_bytes_backward,Active Mean, Active Std, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
80,16045,5,3,356,1964,356,0,71.2,159.20804,1964,0,654.6666667,1133.915929,144593.3313,498.597694,2292.142857,2236.412934,5415,73,16045,4011.25,1779.76822,5415,1459,9788,4894.0,946.1088732,5563,4225,0,0,0,311.6235587,186.9741352,0,1964,257.7777778,650.5754718,423248.4444,0,0,0,1,0,0,0,0,290.0,71.2,654.6666667,168,0,0,0,0,0,0,5,356,3,235,0.0,0.0,0,0.0,0.0,0,0
80,109998919,4,3,525,0,520,0,131.25,259.1773846,0,0,0.0,0.0,4.772774176,0.063636989,18300000.0,44900000.0,110000000,79,110000000,36700000.0,63500000.0,110000000,1460,110000000,55000000.0,77800000.0,110000000,5585,0,0,0,0.036363994,0.027272995,0,520,65.625,183.6035617,33710.26786,0,0,0,1,0,0,0,0,75.0,131.25,0.0,136,0,0,0,0,0,0,4,525,3,235,5735.0,0.0,5735,110000000.0,0.0,110000000,110000000
80,109993343,4,3,531,0,520,0,132.75,258.218738,0,0,0.0,0.0,4.827564883,0.063640215,18300000.0,44900000.0,110000000,46,110000000,36700000.0,63500000.0,110000000,673,110000000,55000000.0,77800000.0,110000000,5391,0,0,0,0.036365837,0.027274378,0,520,66.375,183.332592,33610.83929,0,0,0,1,0,0,0,0,75.85714286,132.75,0.0,136,0,0,0,0,0,0,4,531,3,235,5437.0,0.0,5437,110000000.0,0.0,110000000,110000000
80,109988359,4,3,535,0,520,0,133.75,257.5970691,0,0,0.0,0.0,4.864151123,0.063643099,18300000.0,44900000.0,110000000,83,110000000,36700000.0,63500000.0,110000000,855,110000000,55000000.0,77800000.0,110000000,5417,0,0,0,0.036367485,0.027275614,0,520,66.875,183.1653722,33549.55357,0,0,0,1,0,0,0,0,76.42857143,133.75,0.0,136,0,0,0,0,0,0,4,535,3,235,5505.0,0.0,5505,110000000.0,0.0,110000000,110000000
80,109982960,4,3,530,0,520,0,132.5,258.3763405,0,0,0.0,0.0,4.818928314,0.063646223,18300000.0,44900000.0,110000000,68,110000000,36700000.0,63500000.0,110000000,641,110000000,55000000.0,77800000.0,110000000,5216,0,0,0,0.03636927,0.027276953,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,75.71428571,132.5,0.0,136,0,0,0,0,0,0,4,530,3,235,5303.0,0.0,5303,110000000.0,0.0,110000000,110000000
80,109977744,4,3,530,0,520,0,132.5,258.3763405,0,0,0.0,0.0,4.819156865,0.063649242,18300000.0,44900000.0,110000000,89,110000000,36700000.0,63500000.0,110000000,661,110000000,55000000.0,77800000.0,110000000,5261,0,0,0,0.036370995,0.027278246,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,75.71428571,132.5,0.0,136,0,0,0,0,0,0,4,530,3,235,5356.0,0.0,5356,110000000.0,0.0,110000000,110000000
80,109967320,4,3,526,0,520,0,131.5,259.0154436,0,0,0.0,0.0,4.783239239,0.063655275,18300000.0,44900000.0,110000000,41,110000000,36700000.0,63500000.0,110000000,590,110000000,55000000.0,77800000.0,110000000,5270,0,0,0,0.036374443,0.027280832,0,520,65.75,183.5567254,33693.07143,0,0,0,1,0,0,0,0,75.14285714,131.5,0.0,136,0,0,0,0,0,0,4,526,3,235,5311.0,0.0,5311,110000000.0,0.0,110000000,110000000
80,109962098,4,3,529,0,520,0,132.25,258.5348139,0,0,0.0,0.0,4.810748518,0.063658298,18300000.0,44900000.0,110000000,39,110000000,36700000.0,63500000.0,110000000,623,110000000,55000000.0,77700000.0,110000000,5233,0,0,0,0.03637617,0.027282128,0,520,66.125,183.4202337,33642.98214,0,0,0,1,0,0,0,0,75.57142857,132.25,0.0,136,0,0,0,0,0,0,4,529,3,235,5273.0,0.0,5273,110000000.0,0.0,110000000,110000000
80,109972494,4,3,533,0,520,0,133.25,257.9061522,0,0,0.0,0.0,4.846666476,0.06365228,18300000.0,44900000.0,110000000,48,110000000,36700000.0,63500000.0,110000000,597,110000000,55000000.0,77800000.0,110000000,5265,0,0,0,0.036372732,0.027279549,0,520,66.625,183.2476369,33579.69643,0,0,0,1,0,0,0,0,76.14285714,133.25,0.0,136,0,0,0,0,0,0,4,533,3,235,5313.0,0.0,5313,110000000.0,0.0,110000000,110000000
80,109956889,4,3,530,0,520,0,132.5,258.3763405,0,0,0.0,0.0,4.820070892,0.063661314,18300000.0,44900000.0,110000000,37,110000000,36700000.0,63500000.0,110000000,638,110000000,55000000.0,77700000.0,110000000,5279,0,0,0,0.036377894,0.02728342,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,75.71428571,132.5,0.0,136,0,0,0,0,0,0,4,530,3,235,5316.0,0.0,5316,110000000.0,0.0,110000000,110000000
