 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Init_Win_bytes_backward,Active Mean, Active Std, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
22,404,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4950.49505,404.0,0.0,404,404,404,404.0,0.0,404,404,0,0.0,0.0,0,0,0,0,0,4950.49505,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,-1,0.0,0.0,0,0.0,0.0,0,0
22,5808851,15,18,1496,2297,640,0,99.73333333,166.6851037,976,0,127.6111111,288.1713418,652.9690639,5.680985792,181526.5937,534015.4383,1978974,18,5808851,414917.9286,796605.2643,2032159,434,5707732,335748.9412,706064.5178,1978974,18,0,0,0,2.582266269,3.098719523,0,976,111.5588235,234.8360087,55147.95098,0,0,0,1,0,0,0,1,114.9393939,99.73333333,127.6111111,488,0,0,0,0,0,0,15,1496,18,257,0.0,0.0,0,0.0,0.0,0,0
22,5840763,18,19,1480,2297,640,0,82.22222222,155.7990997,976,0,120.8947368,281.5782691,646.6620885,6.334788794,162243.4167,504075.2867,1976459,37,5840763,343574.2941,733405.7283,2032024,615,5739761,318875.6111,686433.9535,1976459,37,0,0,0,3.081789143,3.252999651,0,976,99.39473684,224.4374998,50372.19132,0,0,0,1,0,0,0,1,102.0810811,82.22222222,120.8947368,584,0,0,0,0,0,0,18,1480,19,247,0.0,0.0,0,0.0,0.0,0,0
22,5797001,17,19,1480,2297,640,0,87.05882353,159.1950339,976,0,120.8947368,281.5782691,651.5437896,6.210107606,165628.6,511031.6261,1964335,17,5797001,362312.5625,748646.5763,2008036,247,5695942,316441.2222,687455.3386,1964335,17,0,0,0,2.932550814,3.277556792,0,976,102.0810811,226.9131477,51489.57658,0,0,0,1,0,0,0,1,104.9166667,87.05882353,120.8947368,552,0,0,0,0,0,0,17,1480,19,247,0.0,0.0,0,0.0,0.0,0,0
22,5776990,15,19,1480,2297,640,0,98.66666667,166.5424299,976,0,120.8947368,281.5782691,653.8006817,5.885417839,175060.303,523350.2299,1971363,55,5776990,412642.1429,789541.905,2016262,784,5675890,315327.2222,685287.4275,1971363,56,0,0,0,2.59650787,3.288909969,0,976,107.9142857,232.0999241,53870.37479,0,0,0,1,0,0,0,1,111.0882353,98.66666667,120.8947368,488,0,0,0,0,0,0,15,1480,19,247,0.0,0.0,0,0.0,0.0,0,0
22,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,69,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14492.75362,14492.75362,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,6114814,17,19,1480,2297,640,0,87.05882353,159.1950339,976,0,120.8947368,281.5782691,617.6802761,5.88734179,174708.9714,541158.1943,2056251,17,6114814,382175.875,792052.7035,2115372,510,6013713,334095.1667,728145.41,2056251,64,0,0,0,2.780133623,3.107208167,0,976,102.0810811,226.9131477,51489.57658,0,0,0,1,0,0,0,1,104.9166667,87.05882353,120.8947368,552,0,0,0,0,0,0,17,1480,19,247,0.0,0.0,0,0.0,0.0,0,0
22,84,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.52381,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11904.7619,11904.7619,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,58,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,8283147,19,23,1656,2441,640,0,87.15789474,150.3038638,976,0,106.1304348,257.2830603,494.6187723,5.070536597,202027.9756,592238.1453,2428299,28,8283147,460174.8333,875473.2175,2507189,544,8181834,371901.5455,776357.8326,2428299,63,0,0,0,2.293814175,2.776722422,0,976,95.27906977,211.342796,44665.77741,0,0,0,1,0,0,0,1,97.54761905,87.15789474,106.1304348,616,0,0,0,0,0,0,19,1656,23,247,0.0,0.0,0,0.0,0.0,0,0
22,8589122,19,22,1656,2441,640,0,87.15789474,150.3038638,976,0,110.9545455,262.2707575,476.9986967,4.773479757,214728.05,619891.0069,2428554,47,8589122,477173.4444,896927.8808,2471781,499,8487927,404187.0,818584.4795,2428554,48,0,0,0,2.212100375,2.561379382,0,976,97.54761905,213.3740792,45528.49768,0,0,0,1,0,0,0,1,99.92682927,87.15789474,110.9545455,616,0,0,0,0,0,0,19,1656,22,247,0.0,0.0,0,0.0,0.0,0,0
22,8582434,20,23,1656,2441,640,0,82.8,147.5874763,976,0,106.1304348,257.2830603,477.3704056,5.010233694,204343.6667,606268.5598,2430767,35,8582434,451707.0526,878613.2899,2480426,313,8481409,385518.5909,803338.4958,2430767,48,0,0,0,2.330341253,2.679892441,0,976,93.11363636,209.3641776,43833.35888,0,0,0,1,0,0,0,1,95.27906977,82.8,106.1304348,648,0,0,0,0,0,0,20,1656,23,247,0.0,0.0,0,0.0,0.0,0,0
22,8528425,17,22,1656,2441,640,0,97.41176471,156.0573047,976,0,110.9545455,262.2707575,480.3935076,4.572942835,224432.2368,632948.3739,2420418,4,8528425,533026.5625,934917.852,2465076,617,8427295,401299.7619,817082.2404,2420418,4,0,0,0,1.993334056,2.579608779,0,976,102.425,217.6026592,47350.91731,0,0,0,1,0,0,0,1,105.0512821,97.41176471,110.9545455,552,0,0,0,0,0,0,17,1656,22,247,0.0,0.0,0,0.0,0.0,0,0
22,105,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19047.61905,105.0,0.0,105,105,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9523.809524,9523.809524,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,75,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,13333.33333,13333.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,74,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,13513.51351,13513.51351,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,10510835,21,27,1832,2585,640,0,87.23809524,142.7928236,976,0,95.74074074,238.4526388,420.2330262,4.566716155,223634.7872,622987.5004,2421668,3,10500000,525541.75,917801.0972,2489672,543,10400000,400372.8077,800830.59,2421668,3,0,0,0,1.997938318,2.568777837,0,976,90.14285714,198.7091677,39485.33333,0,0,0,1,0,0,0,1,92.02083333,87.23809524,95.74074074,680,0,0,0,0,0,0,21,1832,27,247,0.0,0.0,0,0.0,0.0,0,0
22,92,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21739.13043,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10869.56522,10869.56522,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,247,0.0,0.0,0,0.0,0.0,0,0
22,11931559,20,33,2008,2745,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,398.3553197,4.442001251,229453.0577,619141.5513,2419904,1,9468779,498356.7895,842367.3899,2064827,420,11900000,372857.1562,758676.288,2419904,3,0,0,0,1.676226887,2.765774364,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,1,89.67924528,100.4,83.18181818,648,0,0,0,0,0,0,20,2008,33,247,0.0,0.0,0,0.0,0.0,0,0
22,11689048,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,406.6199403,4.534158813,224789.3846,607035.6033,2416249,3,9229246,461462.3,807178.8854,2032192,418,11700000,377063.6452,753129.9401,2416249,3,0,0,0,1.796553492,2.737605321,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,247,0.0,0.0,0,0.0,0.0,0,0
22,11730759,21,31,2008,2745,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,405.1741239,4.432790751,230014.8824,616220.7037,2433650,1,9256466,462823.3,809964.6546,2064185,422,11700000,391023.8,767974.5382,2433650,1,0,0,0,1.790165496,2.642625256,0,976,89.67924528,191.0076291,36483.91437,0,0,0,1,0,0,0,1,91.40384615,95.61904762,88.5483871,680,0,0,0,0,0,0,21,2008,31,247,0.0,0.0,0,0.0,0.0,0,0
22,12052436,24,32,2008,2745,640,0,83.66666667,134.5286996,976,0,85.78125,220.240592,394.3601111,4.646363606,219135.2,605251.6925,2443392,23,9565165,415876.7391,788244.1915,2063988,407,12100000,388782.9355,769114.687,2443392,23,0,0,0,1.991298688,2.655064918,0,976,83.38596491,185.5048858,34412.06266,0,0,0,1,0,0,0,1,84.875,83.66666667,85.78125,776,0,0,0,0,0,0,24,2008,32,247,0.0,0.0,0,0.0,0.0,0,0
22,11760925,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,404.1348788,4.591475585,221904.2453,605066.0584,2430975,4,9287620,442267.619,798240.4738,2064165,422,11800000,379380.4839,756969.9444,2430975,4,0,0,0,1.870601164,2.720874421,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,247,0.0,0.0,0,0.0,0.0,0,0
